id,flight_id,flight_plan_id,name,end_date,start_date,count,color_id
1,120180501967,1,Check In,2018-05-01 02:45:00.000000,2018-05-01 01:15:00.000000,1,2
2,2201805011653,1,Check In,2018-05-01 05:40:00.000000,2018-05-01 04:10:00.000000,1,2
3,2201805011753,1,Check In,2018-05-01 14:15:00.000000,2018-05-01 12:45:00.000000,1,2
4,320180501883,1,Check In,2018-05-01 13:55:00.000000,2018-05-01 12:25:00.000000,1,2
5,420180501401,1,Check In,2018-05-01 09:10:00.000000,2018-05-01 07:40:00.000000,1,2
6,420180501403,1,Check In,2018-05-01 14:40:00.000000,2018-05-01 13:10:00.000000,1,2
7,420180501405,1,Check In,2018-05-01 20:05:00.000000,2018-05-01 18:35:00.000000,1,2
8,520180501296,1,Check In,2018-05-01 15:30:00.000000,2018-05-01 14:00:00.000000,1,2
9,620180501402,1,Check In,2018-05-01 21:35:00.000000,2018-05-01 20:05:00.000000,1,2
10,7201805011386,1,Check In,2018-05-01 13:30:00.000000,2018-05-01 12:00:00.000000,1,2
11,8201805012652,1,Check In,2018-05-01 11:40:00.000000,2018-05-01 10:10:00.000000,1,2
12,8201805012654,1,Check In,2018-05-01 22:25:00.000000,2018-05-01 20:55:00.000000,1,2
13,920180501458,1,Check In,2018-05-01 10:25:00.000000,2018-05-01 08:55:00.000000,1,2
14,920180501460,1,Check In,2018-05-01 20:50:00.000000,2018-05-01 19:20:00.000000,1,2
15,10201805017617,1,Check In,2018-05-01 00:10:00.000000,2018-04-30 22:40:00.000000,1,2
16,10201805017015,1,Check In,2018-05-01 02:40:00.000000,2018-05-01 01:10:00.000000,1,2
17,10201805017051,1,Check In,2018-05-01 03:25:00.000000,2018-05-01 01:55:00.000000,1,2
18,10201805017953,1,Check In,2018-05-01 04:10:00.000000,2018-05-01 02:40:00.000000,1,2
19,10201805017615,1,Check In,2018-05-01 07:25:00.000000,2018-05-01 05:55:00.000000,1,2
20,1020180501755,1,Check In,2018-05-01 08:35:00.000000,2018-05-01 07:05:00.000000,1,2
21,1020180501101,1,Check In,2018-05-01 09:10:00.000000,2018-05-01 07:40:00.000000,1,2
22,10201805017011,1,Check In,2018-05-01 12:20:00.000000,2018-05-01 10:50:00.000000,1,2
23,10201805017653,1,Check In,2018-05-01 14:40:00.000000,2018-05-01 13:10:00.000000,1,2
24,1020180501105,1,Check In,2018-05-01 17:30:00.000000,2018-05-01 16:00:00.000000,1,2
25,11201805015201,1,Check In,2018-05-01 03:10:00.000000,2018-05-01 01:40:00.000000,1,2
26,11201805015333,1,Check In,2018-05-01 03:30:00.000000,2018-05-01 02:00:00.000000,1,2
27,11201805015611,1,Check In,2018-05-01 05:30:00.000000,2018-05-01 04:00:00.000000,1,2
28,1120180501185,1,Check In,2018-05-01 08:50:00.000000,2018-05-01 07:20:00.000000,1,2
29,1120180501177,1,Check In,2018-05-01 08:55:00.000000,2018-05-01 07:25:00.000000,1,2
30,1120180501423,1,Check In,2018-05-01 08:55:00.000000,2018-05-01 07:25:00.000000,1,2
31,1120180501845,1,Check In,2018-05-01 08:55:00.000000,2018-05-01 07:25:00.000000,1,2
32,1120180501151,1,Check In,2018-05-01 09:00:00.000000,2018-05-01 07:30:00.000000,1,2
33,1120180501171,1,Check In,2018-05-01 09:00:00.000000,2018-05-01 07:30:00.000000,1,2
34,1120180501807,1,Check In,2018-05-01 09:15:00.000000,2018-05-01 07:45:00.000000,1,2
35,1120180501415,1,Check In,2018-05-01 09:15:00.000000,2018-05-01 07:45:00.000000,1,2
36,112018050157,1,Check In,2018-05-01 09:20:00.000000,2018-05-01 07:50:00.000000,1,2
37,1120180501101,1,Check In,2018-05-01 09:20:00.000000,2018-05-01 07:50:00.000000,1,2
38,1120180501127,1,Check In,2018-05-01 09:25:00.000000,2018-05-01 07:55:00.000000,1,2
39,1120180501775,1,Check In,2018-05-01 09:25:00.000000,2018-05-01 07:55:00.000000,1,2
40,1120180501991,1,Check In,2018-05-01 09:25:00.000000,2018-05-01 07:55:00.000000,1,2
41,1120180501111,1,Check In,2018-05-01 09:30:00.000000,2018-05-01 08:00:00.000000,1,2
42,1120180501305,1,Check In,2018-05-01 09:35:00.000000,2018-05-01 08:05:00.000000,1,2
43,1120180501341,1,Check In,2018-05-01 09:45:00.000000,2018-05-01 08:15:00.000000,1,2
44,1120180501889,1,Check In,2018-05-01 09:45:00.000000,2018-05-01 08:15:00.000000,1,2
45,1120180501371,1,Check In,2018-05-01 09:50:00.000000,2018-05-01 08:20:00.000000,1,2
46,112018050125,1,Check In,2018-05-01 09:55:00.000000,2018-05-01 08:25:00.000000,1,2
47,1120180501471,1,Check In,2018-05-01 10:00:00.000000,2018-05-01 08:30:00.000000,1,2
48,112018050149,1,Check In,2018-05-01 10:00:00.000000,2018-05-01 08:30:00.000000,1,2
49,112018050135,1,Check In,2018-05-01 10:05:00.000000,2018-05-01 08:35:00.000000,1,2
50,112018050187,1,Check In,2018-05-01 10:05:00.000000,2018-05-01 08:35:00.000000,1,2
51,1120180501311,1,Check In,2018-05-01 10:10:00.000000,2018-05-01 08:40:00.000000,1,2
52,1120180501485,1,Check In,2018-05-01 10:15:00.000000,2018-05-01 08:45:00.000000,1,2
53,1120180501353,1,Check In,2018-05-01 10:20:00.000000,2018-05-01 08:50:00.000000,1,2
54,1120180501613,1,Check In,2018-05-01 10:20:00.000000,2018-05-01 08:50:00.000000,1,2
55,112018050179,1,Check In,2018-05-01 10:20:00.000000,2018-05-01 08:50:00.000000,1,2
56,1120180501145,1,Check In,2018-05-01 10:25:00.000000,2018-05-01 08:55:00.000000,1,2
57,1120180501411,1,Check In,2018-05-01 10:30:00.000000,2018-05-01 09:00:00.000000,1,2
58,1120180501401,1,Check In,2018-05-01 10:40:00.000000,2018-05-01 09:10:00.000000,1,2
59,1120180501287,1,Check In,2018-05-01 09:55:00.000000,2018-05-01 08:25:00.000000,1,2
60,1120180501231,1,Check In,2018-05-01 11:05:00.000000,2018-05-01 09:35:00.000000,1,2
61,1120180501515,1,Check In,2018-05-01 11:30:00.000000,2018-05-01 10:00:00.000000,1,2
62,1120180501713,1,Check In,2018-05-01 12:10:00.000000,2018-05-01 10:40:00.000000,1,2
63,11201805015673,1,Check In,2018-05-01 12:15:00.000000,2018-05-01 10:45:00.000000,1,2
64,1120180501813,1,Check In,2018-05-01 13:40:00.000000,2018-05-01 12:10:00.000000,1,2
65,1120180501801,1,Check In,2018-05-01 14:20:00.000000,2018-05-01 12:50:00.000000,1,2
66,1120180501533,1,Check In,2018-05-01 18:55:00.000000,2018-05-01 17:25:00.000000,1,2
67,112018050171,1,Check In,2018-05-01 19:00:00.000000,2018-05-01 17:30:00.000000,1,2
68,1120180501129,1,Check In,2018-05-01 19:00:00.000000,2018-05-01 17:30:00.000000,1,2
69,1120180501715,1,Check In,2018-05-01 19:00:00.000000,2018-05-01 17:30:00.000000,1,2
70,1120180501777,1,Check In,2018-05-01 19:00:00.000000,2018-05-01 17:30:00.000000,1,2
71,112018050155,1,Check In,2018-05-01 19:05:00.000000,2018-05-01 17:35:00.000000,1,2
72,1120180501183,1,Check In,2018-05-01 19:05:00.000000,2018-05-01 17:35:00.000000,1,2
73,1120180501893,1,Check In,2018-05-01 19:10:00.000000,2018-05-01 17:40:00.000000,1,2
74,1120180501897,1,Check In,2018-05-01 19:15:00.000000,2018-05-01 17:45:00.000000,1,2
75,112018050123,1,Check In,2018-05-01 19:20:00.000000,2018-05-01 17:50:00.000000,1,2
