id, flight_id, flight_plan_id, start_date, end_date
1,120180501966,1,2018-05-01 02:15:00.000000,2018-05-01 03:15:00.000000
2,2201805011652,1,2018-05-01 00:40:00.000000,2018-05-01 06:10:00.000000
3,2201805011752,1,2018-05-01 13:55:00.000000,2018-05-01 14:45:00.000000
4,320180501882,1,2018-05-01 13:35:00.000000,2018-05-01 14:25:00.000000
5,420180501400,1,2018-05-01 09:10:00.000000,2018-05-01 09:40:00.000000
6,420180501402,1,2018-05-01 14:40:00.000000,2018-05-01 15:10:00.000000
7,420180501404,1,2018-05-01 20:05:00.000000,2018-05-01 20:35:00.000000
8,520180501295,1,2018-05-01 14:40:00.000000,2018-05-01 16:00:00.000000
9,620180501401,1,2018-05-01 21:05:00.000000,2018-05-01 22:05:00.000000
10,7201805011385,1,2018-05-01 13:15:00.000000,2018-05-01 14:00:00.000000
11,8201805012651,1,2018-05-01 11:00:00.000000,2018-05-01 12:10:00.000000
12,8201805012653,1,2018-05-01 21:45:00.000000,2018-05-01 22:55:00.000000
13,920180501457,1,2018-05-01 09:25:00.000000,2018-05-01 10:55:00.000000
14,920180501459,1,2018-05-01 19:50:00.000000,2018-05-01 21:20:00.000000
15,2201805021652,1,2018-05-02 00:40:00.000000,2018-05-02 06:10:00.000000
16,2201805021752,1,2018-05-02 13:55:00.000000,2018-05-02 14:45:00.000000
17,320180502882,1,2018-05-02 13:35:00.000000,2018-05-02 14:25:00.000000
18,420180502400,1,2018-05-02 09:10:00.000000,2018-05-02 09:40:00.000000
19,420180502402,1,2018-05-02 14:40:00.000000,2018-05-02 15:10:00.000000
20,420180502404,1,2018-05-02 20:05:00.000000,2018-05-02 20:35:00.000000
21,1220180502200,1,2018-05-02 13:45:00.000000,2018-05-02 14:45:00.000000
22,620180502103,1,2018-05-02 22:05:00.000000,2018-05-02 23:05:00.000000
23,7201805021385,1,2018-05-02 13:15:00.000000,2018-05-02 14:00:00.000000
24,13201805022290,1,2018-05-02 15:30:00.000000,2018-05-02 16:20:00.000000
25,8201805022651,1,2018-05-02 11:00:00.000000,2018-05-02 12:10:00.000000
26,920180502457,1,2018-05-02 08:50:00.000000,2018-05-02 10:15:00.000000
27,920180502459,1,2018-05-02 19:50:00.000000,2018-05-02 21:20:00.000000
28,2201805031652,1,2018-05-03 00:40:00.000000,2018-05-03 06:10:00.000000
29,2201805031752,1,2018-05-03 13:55:00.000000,2018-05-03 14:45:00.000000
30,320180503882,1,2018-05-03 13:35:00.000000,2018-05-03 14:25:00.000000
31,420180503400,1,2018-05-03 09:10:00.000000,2018-05-03 09:40:00.000000
32,420180503402,1,2018-05-03 14:40:00.000000,2018-05-03 15:10:00.000000
33,420180503404,1,2018-05-03 20:05:00.000000,2018-05-03 20:35:00.000000
34,620180503401,1,2018-05-03 21:05:00.000000,2018-05-03 22:05:00.000000
35,7201805031385,1,2018-05-03 13:15:00.000000,2018-05-03 14:00:00.000000
36,8201805032651,1,2018-05-03 11:00:00.000000,2018-05-03 12:10:00.000000
37,8201805032653,1,2018-05-03 21:45:00.000000,2018-05-03 22:55:00.000000
38,920180503457,1,2018-05-03 08:50:00.000000,2018-05-03 10:15:00.000000
39,920180503459,1,2018-05-03 19:50:00.000000,2018-05-03 21:20:00.000000
40,2201805041652,1,2018-05-04 00:40:00.000000,2018-05-04 06:10:00.000000
41,320180504882,1,2018-05-04 13:35:00.000000,2018-05-04 14:25:00.000000
42,420180504400,1,2018-05-04 09:10:00.000000,2018-05-04 09:40:00.000000
